id,0,48,96,144,192,240,288,336,384,432,480,528,576,624,672,720,768,816,864,912,960,1008,1056,1104,1152,1200,1248,1296,1344,1392,1440,1488,1536,1584,1632,1680,1728,1776,1824,1872,1920,1968,2016,2064,2112,2160,2208,2256,2304,2352,2400,2448,2496,2544,2592,2640,2688,2736,2784,2832,2880,2928,2976,3024,3072,3120,3168,3216,3264,3312,3360,3408,3456,3504,3552,3600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,20,14,18,29,0,113,6,1,81,14,36,42,1,1,0,5,5,3,19,18,2,7,5,8,9,5,7,3,1,0,0,11,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,3,5,6,8,9,6,13,7,14,20,33,14,16,64,38,69,31,164,178,590,251,255,146,238,51,231,176,302,131,268,109,108,84,57,61,83,88,45,8,88,44,19,3,9,4,0,3,5,1,3,3,3,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,5,8,7,7,10,15,11,13,18,11,29,56,37,15,32,44,58,84,133,381,193,142,697,223,163,400,400,130,54,96,159,89,335,113,155,109,120,56,64,30,45,5,8,20,6,10,1,5,5,2,5,4,3,2,0,2,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,1,1,3,8,10,0,1,1,5,3,2,1,0,27,151,28,9,3,31,59,30,26,11,23,16,15,9,2,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,2,3,4,5,1,2,8,13,41,22,29,24,9,5,7,10,32,2,181,0,0,76,25,416,130,151,213,45,126,101,60,39,42,18,7,9,24,6,10,1,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,4,9,5,7,4,36,7,29,8,14,84,26,37,6,194,67,26,9,50,1,89,287,193,102,257,73,25,35,56,39,27,35,25,22,20,51,32,4,16,1,0,3,2,6,1,0,0,1,0,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,1,0,1,1,1,3,6,9,10,18,39,1,17,118,59,223,39,6,4,6,20,159,6,65,118,32,28,54,20,24,17,17,13,24,14,0,16,9,1,4,5,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,5,4,2,1,4,1,4,11,50,76,7,30,49,0,22,9,2,4,0,20,3,22,48,14,60,24,16,38,22,21,28,16,18,9,2,20,8,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,3,0,3,1,7,0,1,129,9,45,11,6,7,2,55,2,0,87,27,1,0,16,7,3,8,3,6,5,3,18,0,0,7,1,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,3,1,1,2,2,2,3,2,4,8,5,11,31,15,1,22,12,25,15,7,85,3,75,30,181,100,22,87,17,166,423,198,225,166,58,49,78,52,38,36,34,39,19,5,26,5,5,13,14,3,4,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,4,3,6,6,12,6,4,7,5,9,3,11,111,71,68,256,126,150,52,707,34,50,421,161,69,157,231,134,279,45,96,126,180,40,100,72,6,1,8,28,2,5,7,3,4,4,0,1,2,8,11,0,1,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,4,4,3,2,13,15,10,4,87,129,52,13,6,2,6,2,7,49,66,27,57,43,36,19,21,17,31,16,16,17,10,16,8,1,4,3,2,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,4,4,18,3,7,11,14,35,56,60,64,44,35,17,22,7,4,80,105,208,7,71,24,20,28,37,26,12,14,12,23,5,4,7,5,1,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,10,40,8,11,9,19,24,27,15,1,86,23,5,20,8,5,157,56,101,11,7,14,12,21,13,18,14,16,10,11,2,3,5,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,15,5,0,2,16,5,15,25,39,5,7,78,88,55,8,0,2,23,23,85,2,9,55,18,4,17,18,6,6,6,5,1,0,1,6,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,7,0,1,0,1,0,1,2,10,15,15,9,11,34,11,15,33,64,7,48,22,10,32,8,34,27,18,15,3,7,1,63,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,0,0,0,37,7,12,1,7,3,1,8,10,21,17,7,3,78,31,50,25,88,46,25,29,22,27,15,16,15,2,15,0,3,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,3,2,4,16,22,8,17,122,61,12,40,11,42,69,73,41,249,29,74,56,57,81,144,59,48,54,41,25,19,16,43,18,4,19,9,6,12,9,7,0,9,4,0,2,0,1,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,1,3,5,3,11,10,6,10,15,14,9,46,60,59,35,150,27,530,71,61,51,43,66,74,17,17,42,27,22,31,19,19,9,8,4,5,2,7,5,4,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
